# Lattice: 60^2 B = 0 iterations = 50000 Algorithm: met
# radius correlation
1 0.00174138666596824
1.4142135623731 0.000404199999300858
2 0.000238799999299803
2.23606797749979 6.71599992997512e-05
3 4.15733326335858e-05
3.16227766016838 -2.48000070035559e-06
4 1.26666659669983e-05
4.12310562561766 -2.00800007005147e-05
5 -4.03428641420384e-06
5.09901951359278 2.26199992993809e-05
6 3.37599992999057e-05
6.08276253029822 1.10599992994564e-05
7 -8.2160000700456e-05
7.07106781186548 -2.51066673672788e-05
8 6.55999929912351e-06
8.06225774829855 3.53999992995027e-05
9 -5.61866673678413e-05
9.05538513813742 5.50857072776991e-06
10 2.10742850135622e-05
10.0498756211209 -4.22857212884724e-06
11 -2.73066673671662e-05
11.0453610171873 -8.1580000700493e-05
12 -4.70400007001233e-05
12.0415945787923 5.22453326329497e-05
13 1.1085707283571e-06
13.0384048104053 -1.39400007005547e-05
14 7.3119999300005e-05
14.0356688476182 1.5799999299182e-05
15 3.76615314578999e-06
15.0332963783729 3.24399992994023e-05
16 -3.36266673667633e-05
16.0312195418814 4.52399992998259e-05
17 5.35314278711864e-05
17.0293863659264 2.02399992998148e-05
18 0.00011415999929996
18.0277563773199 -1.0800000700291e-05
19 -0.000112106667366977
19.0262975904404 2.7919999300241e-05
20 -1.49818251860001e-06
20.0249843945008 9.51999929893477e-06
21 7.5199992990808e-06
21.0237960416286 3.7039999299715e-05
22 -2.09066673675373e-05
22.0227155455452 2.15999929936705e-06
23 -0.000105706667367311
23.0217288664427 -3.74600007000819e-05
24 -4.44266673661486e-05
24.0208242989286 -7.6000000700821e-05
25 -5.49818251879578e-06
25.0199920063936 -2.95200007011664e-05
26 3.2666665965834e-05
26.0192236625154 -4.16000070027622e-06
27 -0.000118986667366539
27.0185121722126 2.0739999300079e-05
28 -8.51200007003043e-05
28.0178514522438 -3.47600007002541e-05
29 2.64319992989259e-05
29.0172362570938 3.47599992998049e-05
30 9.12457135853354e-05
30.0166620396073 -2.62000007001661e-05
31 4.14933326335539e-05
31.0161248385416 1.47999929941967e-06
32 -3.81866673665095e-05
32.0156211871642 -3.19840007005245e-05
33 -1.882666736767e-05
33.0151480384384 3.69866659656141e-05
34 -7.73714292721423e-05
34.0147027033899 -9.13400007005044e-05
35 -4.61120007006821e-05
35.0142828000232 -8.98000007000244e-05
36 2.50666659663186e-05
36.0138862107382 -3.46800007008652e-05
37 -2.92571498605732e-06
37.0135110466435 -5.6773334033681e-05
38 9.16266659671446e-05
38.0131556174964 6.98879993001778e-05
39 -1.89714355753561e-06
39.0128184062623 4.62399993003404e-05
40 8.76799929994121e-06
40.0124980474851 3.85999992996433e-05
41 4.35428564425276e-05
41.0121933088198 -8.56960007002527e-05
42 -nan
