# Lattice: 60^2
# T mag magerr sus suserr eng engerr heat heaterr
1 0.999277 2.23517e-06 4.36264e-07 1.70631e-09 -3.99433 1.71844e-05 2.59724e-05 9.4898e-08
1.075 0.998703 3.11356e-06 7.47576e-07 2.73554e-09 -3.98991 2.35846e-05 4.03294e-05 1.39447e-07
1.15 0.997821 4.15119e-06 1.2129e-06 4.38253e-09 -3.98318 3.08067e-05 5.91843e-05 2.13367e-07
1.225 0.996557 5.44853e-06 1.88216e-06 6.53363e-09 -3.9737 3.9469e-05 8.2847e-05 2.82317e-07
1.3 0.994764 6.9727e-06 2.82386e-06 9.12938e-09 -3.96047 4.902e-05 0.000111904 3.5815e-07
1.375 0.992337 9.07491e-06 4.13826e-06 1.39356e-08 -3.94295 6.17055e-05 0.000147015 4.68303e-07
1.45 0.989166 1.16837e-05 5.91232e-06 1.95417e-08 -3.92056 7.66359e-05 0.000187703 5.86665e-07
1.525 0.985005 1.50336e-05 8.43073e-06 2.78986e-08 -3.89204 9.40962e-05 0.000236539 7.73287e-07
1.6 0.9796 1.96589e-05 1.20158e-05 4.02137e-08 -3.85635 0.000114243 0.000291781 9.27075e-07
1.675 0.972735 2.5711e-05 1.71583e-05 5.80959e-08 -3.81276 0.000141155 0.000358425 1.15311e-06
1.75 0.963982 3.49512e-05 2.45593e-05 8.0956e-08 -3.7598 0.000166522 0.000431609 1.41538e-06
1.825 0.95279 5.15336e-05 3.63468e-05 1.26955e-07 -3.69605 0.000207229 0.000519273 1.60139e-06
1.9 0.938231 7.3677e-05 5.53408e-05 2.08127e-07 -3.61863 0.000265827 0.000627382 1.99839e-06
1.975 0.919164 0.000113175 8.88744e-05 3.23093e-07 -3.52634 0.000338005 0.000754723 2.43923e-06
2.05 0.892673 0.000217342 0.000160246 6.74481e-07 -3.41347 0.000483843 0.000917522 2.97994e-06
2.125 0.854421 0.000459121 0.000343066 1.67409e-06 -3.27522 0.000731766 0.00114238 3.66391e-06
2.175 0.815358 0.00092958 0.000640017 3.42141e-06 -3.16026 0.00109812 0.00136524 4.46563e-06
2.225 0.737368 0.00496645 0.00337527 2.30997e-05 -3.01305 0.00288543 0.00187077 6.16253e-06
2.275 0.562825 0.0158373 0.0151355 5.4453e-05 -2.82009 0.0062923 0.00253721 7.60866e-06
2.325 0.328022 0.015453 0.0154023 3.27172e-05 -2.61575 0.00469287 0.00191816 6.15985e-06
2.375 0.195564 0.00611205 0.00802099 2.57975e-05 -2.46649 0.00194284 0.0013978 4.50701e-06
2.425 0.146551 0.00355826 0.00457142 1.49014e-05 -2.35402 0.00109786 0.00115445 3.8211e-06
2.475 0.115099 0.0021595 0.00292728 1.03623e-05 -2.25569 0.000849995 0.00101961 3.2031e-06
2.525 0.0981972 0.0015224 0.0020891 7.54471e-06 -2.17027 0.000683946 0.000908111 2.94047e-06
2.575 0.0851975 0.00111992 0.00160749 6.11639e-06 -2.09249 0.000589782 0.000821453 2.66141e-06
2.65 0.0728799 0.000748738 0.00113456 4.06216e-06 -1.98936 0.000479564 0.000719496 2.23804e-06
2.725 0.0629373 0.000535443 0.00080965 2.97737e-06 -1.89756 0.000429295 0.000639533 2.00512e-06
2.8 0.0561783 0.000441895 0.00064516 2.5496e-06 -1.81592 0.000373751 0.000571665 1.7932e-06
2.875 0.0514699 0.000348127 0.00051752 1.91079e-06 -1.74242 0.000346694 0.000520012 1.60845e-06
2.95 0.0472376 0.000304632 0.000432414 1.52781e-06 -1.6762 0.000318006 0.000473332 1.4678e-06
3.025 0.0441861 0.000247458 0.000365133 1.36245e-06 -1.61488 0.000293525 0.000433843 1.38297e-06
