# Lattice: 60^2 B = 0.5 iterations = 50000
# T mag magerr sus suserr eng engerr heat heaterr
1 0.998743 6.27056e-06 7.96094e-07 6.28433e-09 -4.48964 5.00963e-05 5.13883e-05 3.75418e-07
1.075 0.997792 8.83561e-06 1.36908e-06 1.00018e-08 -4.48201 6.88207e-05 7.87353e-05 5.36538e-07
1.15 0.99634 1.17405e-05 2.24845e-06 1.60251e-08 -4.47055 8.86034e-05 0.000115013 7.82772e-07
1.225 0.994271 1.57883e-05 3.52784e-06 2.5077e-08 -4.45456 0.000114893 0.000159879 1.0082e-06
1.3 0.991399 2.11893e-05 5.39319e-06 3.71303e-08 -4.43288 0.000148794 0.000216883 1.41616e-06
1.375 0.987375 2.98833e-05 8.20802e-06 5.52829e-08 -4.40343 0.00019923 0.000288498 1.91651e-06
1.45 0.98196 4.00888e-05 1.25665e-05 8.41493e-08 -4.36532 0.00023734 0.000373171 2.41449e-06
1.525 0.974823 5.87796e-05 1.90707e-05 1.40489e-07 -4.31705 0.000315022 0.000477431 2.95968e-06
1.6 0.965086 8.42689e-05 2.95904e-05 2.10411e-07 -4.2553 0.000400606 0.000603659 3.73566e-06
1.675 0.950922 0.00025984 6.25907e-05 6.14612e-07 -4.17437 0.000693755 0.000813053 5.32082e-06
1.75 0.977334 3.80662e-05 1.15525e-05 7.98932e-08 -3.35056 0.000210719 0.00022705 1.4383e-06
1.825 0.970727 4.75285e-05 1.57962e-05 1.05385e-07 -3.31146 0.000245172 0.000270976 1.77412e-06
1.9 0.962768 6.05223e-05 2.10885e-05 1.41219e-07 -3.26601 0.000291055 0.00031043 1.98293e-06
1.975 0.952929 7.77053e-05 2.88748e-05 1.93252e-07 -3.21261 0.000345395 0.000366537 2.32148e-06
2.05 0.940888 9.49855e-05 3.81808e-05 2.45897e-07 -3.15097 0.000384225 0.000407737 2.57183e-06
2.125 0.926025 0.000131092 5.32306e-05 3.61835e-07 -3.07915 0.000474422 0.000470499 2.92582e-06
2.175 0.914498 0.000155546 6.67713e-05 4.41451e-07 -3.02639 0.000532733 0.000520123 3.32353e-06
2.225 0.901212 0.000182342 8.28895e-05 5.46589e-07 -2.96904 0.000579669 0.000557016 3.41928e-06
2.275 0.88588 0.000225388 0.000102196 6.9177e-07 -2.90629 0.000667051 0.000597269 3.78555e-06
2.325 0.868694 0.000263081 0.000127459 8.15286e-07 -2.83879 0.000730091 0.000641962 4.0234e-06
2.375 0.848656 0.000330025 0.000156589 9.98219e-07 -2.76629 0.000806519 0.000680404 4.31821e-06
2.425 0.826627 0.000362804 0.000191075 1.2899e-06 -2.68955 0.000841219 0.000703266 4.56722e-06
2.475 0.801397 0.000424641 0.000238029 1.48092e-06 -2.60763 0.000956397 0.000753848 4.49198e-06
2.525 0.773363 0.000481999 0.000293101 1.92679e-06 -2.52254 0.000996178 0.000783881 4.96263e-06
2.575 0.740724 0.000582663 0.000343633 2.16702e-06 -2.43168 0.00106967 0.000781461 4.81013e-06
2.65 0.691024 0.000705513 0.000430554 2.6943e-06 -2.299 0.00112623 0.000781136 5.01968e-06
2.725 0.63433 0.000822355 0.000540562 3.5311e-06 -2.16419 0.00123563 0.000752742 4.69964e-06
2.8 0.579051 0.000856065 0.000587009 3.7264e-06 -2.03753 0.00119671 0.000711582 4.52518e-06
2.875 0.521927 0.000918115 0.000631119 4.00841e-06 -1.91791 0.0011155 0.000638467 4.06691e-06
2.95 0.469905 0.000828958 0.000638252 4.13804e-06 -1.8127 0.000976141 0.000575959 3.53786e-06
3.025 0.421348 0.000820741 0.000612886 3.96944e-06 -1.71735 0.000887018 0.000506521 3.1688e-06
