# Lattice: 60^2 B = 0 iterations = 200000
# T mag magerr sus suserr eng engerr heat heaterr
1 0.999274 2.28269e-06 4.38037e-07 1.71105e-09 -3.9943 1.75816e-05 2.61275e-05 9.50809e-08
1.075 0.998702 3.10879e-06 7.53476e-07 2.7154e-09 -3.9899 2.35275e-05 4.06142e-05 1.46934e-07
1.15 0.997817 4.17708e-06 1.21962e-06 4.12459e-09 -3.98315 3.1102e-05 5.96371e-05 2.01574e-07
1.225 0.996549 5.46448e-06 1.87722e-06 6.83371e-09 -3.97363 3.96961e-05 8.28747e-05 2.78723e-07
1.3 0.994768 7.03276e-06 2.80944e-06 9.32552e-09 -3.9605 4.97317e-05 0.000111796 3.64938e-07
1.375 0.992351 9.13841e-06 4.10253e-06 1.34681e-08 -3.94304 6.21704e-05 0.000145756 4.742e-07
1.45 0.989158 1.16551e-05 5.95347e-06 2.02619e-08 -3.92054 7.62484e-05 0.000188125 6.11576e-07
1.525 0.984973 1.51787e-05 8.4343e-06 2.90035e-08 -3.89188 9.34866e-05 0.000235785 7.53054e-07
1.6 0.979622 1.93646e-05 1.20691e-05 4.11578e-08 -3.85648 0.000112732 0.00029318 9.7974e-07
1.675 0.972789 2.5768e-05 1.70989e-05 5.84329e-08 -3.81312 0.000138497 0.000356622 1.13612e-06
1.75 0.964001 3.44004e-05 2.44489e-05 8.15379e-08 -3.75985 0.000164199 0.000429164 1.34248e-06
1.825 0.952822 4.81754e-05 3.58626e-05 1.27472e-07 -3.69595 0.000206749 0.000516926 1.65001e-06
1.9 0.938318 6.87396e-05 5.42727e-05 1.85422e-07 -3.61882 0.000255206 0.000621883 1.88929e-06
1.975 0.919034 0.000118696 9.00239e-05 3.38466e-07 -3.52586 0.000337164 0.000757282 2.4325e-06
2.05 0.892886 0.000205955 0.000157583 6.05002e-07 -3.41368 0.000470749 0.000917813 2.95078e-06
2.125 0.854023 0.000474147 0.00035071 1.67243e-06 -3.27463 0.000722091 0.00115562 3.55066e-06
2.175 0.814016 0.0010023 0.000755102 4.19015e-06 -3.16018 0.00114028 0.00142376 4.63177e-06
2.225 0.752425 0.0024152 0.00187948 1.04036e-05 -3.02263 0.00191023 0.00171977 5.38201e-06
2.275 0.565599 0.0172986 0.0152636 5.83368e-05 -2.82012 0.00611556 0.00244807 7.41623e-06
2.325 0.339705 0.0126852 0.0152821 3.41568e-05 -2.61839 0.00410268 0.00192189 6.06484e-06
2.375 0.202163 0.00631802 0.00802048 2.28353e-05 -2.46982 0.00160808 0.00139235 4.49365e-06
2.425 0.144814 0.00323359 0.0046853 1.54301e-05 -2.35391 0.00111794 0.00115708 3.62251e-06
2.475 0.114327 0.00213947 0.00296715 1.06866e-05 -2.25626 0.000821578 0.00100316 3.15454e-06
2.525 0.0991268 0.00144864 0.0021418 7.16529e-06 -2.17148 0.000676091 0.000901499 2.85872e-06
2.575 0.0851702 0.00107032 0.00159991 5.55071e-06 -2.09187 0.000582865 0.000818297 2.58604e-06
2.65 0.071891 0.000798611 0.00111919 4.18207e-06 -1.98983 0.000480719 0.000714518 2.30797e-06
2.725 0.0635172 0.000548202 0.000824337 3.05567e-06 -1.89822 0.000420396 0.000638303 2.02172e-06
2.8 0.0567524 0.000429243 0.000645424 2.36067e-06 -1.81632 0.000369679 0.000567244 1.87435e-06
2.875 0.0516017 0.000345632 0.000523229 1.9436e-06 -1.74318 0.000333887 0.000513098 1.60693e-06
2.95 0.0471485 0.000284042 0.000422804 1.59499e-06 -1.67595 0.000313681 0.00047015 1.52283e-06
3.025 0.0440719 0.000263682 0.000367216 1.37343e-06 -1.61474 0.000300378 0.000437503 1.34127e-06
