# Lattice: 60^2 B = 0 iterations = 200000 Algorithm: wolff
# T mag magerr sus suserr eng engerr heat heaterrclustersize clustersizeerr
1.5 0.986495 8.16505e-06 7.52592e-06 2.55998e-08 -3.90221 5.40575e-05 0.000219426 7.18257e-073504.83 0.902567
1.575 0.981549 1.01786e-05 1.06378e-05 3.60001e-08 -3.86907 6.46112e-05 0.000271196 8.68864e-073468.73 1.06357
1.65 0.975224 1.28945e-05 1.51525e-05 4.95908e-08 -3.8283 7.8078e-05 0.000333736 1.07612e-063424.07 1.22632
1.725 0.967158 1.60264e-05 2.16827e-05 7.53883e-08 -3.77868 9.12288e-05 0.000403816 1.25782e-063366.97 1.38904
1.8 0.956866 2.05269e-05 3.16332e-05 1.05972e-07 -3.71868 0.000109052 0.000488674 1.55927e-063294.94 1.57127
1.875 0.943581 2.67658e-05 4.72598e-05 1.68846e-07 -3.64622 0.00013033 0.000585954 1.92294e-063205.9 1.75053
1.95 0.926167 3.65375e-05 7.57729e-05 2.92282e-07 -3.55915 0.000158554 0.000710529 2.28179e-063087.26 1.95675
2.025 0.902537 5.2158e-05 0.000130793 5.46322e-07 -3.45349 0.000195539 0.00086243 2.81063e-062933.79 2.17664
2.1 0.868606 8.41716e-05 0.000264283 1.24754e-06 -3.32379 0.000253438 0.0010686 3.39332e-062715.54 2.40222
2.15 0.835771 0.000127005 0.000506341 2.98032e-06 -3.21946 0.000312876 0.00127065 4.00004e-062517.66 2.53809
2.2 0.784766 0.000237844 0.00137072 1.21045e-05 -3.09299 0.000407382 0.0015686 4.9969e-062227.08 2.79863
2.25 0.679583 0.000698843 0.00666982 4.20547e-05 -2.92782 0.000665804 0.00215292 6.98463e-061719.01 3.68533
2.3 0.445666 0.00135253 0.0174373 4.46378e-05 -2.71224 0.00104486 0.00235013 7.1391e-06859.6 4.01931
2.35 0.254399 0.00107256 0.0115047 2.95974e-05 -2.53744 0.00121005 0.00163516 5.45663e-06330.464 2.1544
2.4 0.16974 0.000757377 0.00610951 1.92372e-05 -2.40868 0.00143687 0.00124212 4.03671e-06156.903 0.935015
2.45 0.128742 0.000669112 0.00364936 1.22752e-05 -2.30401 0.00170052 0.00107536 3.47269e-0693.1094 0.521166
2.5 0.105341 0.00059864 0.0024763 9.03546e-06 -2.21291 0.00208217 0.000979323 3.04805e-0662.5029 0.319426
2.55 0.0906944 0.00057348 0.00180226 6.67131e-06 -2.12795 0.0020244 0.000871772 2.80587e-0645.9688 0.214446
2.6 0.0794374 0.000532346 0.00135237 4.95407e-06 -2.05663 0.00214713 0.000761097 2.38058e-0635.7642 0.160339
2.675 0.0687814 0.000557372 0.000983543 3.51482e-06 -1.95754 0.00223164 0.000683001 2.18603e-0626.2928 0.10536
2.75 0.0597542 0.000541323 0.000739177 2.69042e-06 -1.87326 0.00277526 0.000636309 2.02336e-0620.659 0.0764692
2.825 0.0540748 0.000542743 0.00058967 2.22815e-06 -1.79253 0.00254608 0.000548807 1.84794e-0616.7936 0.0599991
2.9 0.0501279 0.000567042 0.000496591 1.87329e-06 -1.7203 0.00296726 0.000522518 1.57736e-0614.0722 0.047019
2.975 0.0459573 0.00057334 0.000409344 1.56151e-06 -1.65134 0.002763 0.000452355 1.46354e-0612.0357 0.0360332
3.05 0.0431951 0.000565007 0.000348317 1.32936e-06 -1.59651 0.00270344 0.000431699 1.37837e-0610.6975 0.032457
3.125 0.039383 0.000532496 0.000277913 1.05576e-06 -1.53978 0.00272248 0.000387396 1.25032e-069.44813 0.0273024
3.2 0.0382958 0.000593141 0.000273715 1.13867e-06 -1.48843 0.00286947 0.00035804 1.16686e-068.55101 0.0241223
3.275 0.0383683 0.000615295 0.000251575 9.81882e-07 -1.44699 0.00286982 0.000320958 1.03467e-067.73367 0.0212243
3.35 0.0350424 0.000597677 0.000212874 7.81426e-07 -1.40404 0.00308002 0.000323456 9.80346e-077.13181 0.0193744
3.425 0.0340784 0.000564094 0.000198789 7.84545e-07 -1.35999 0.00307065 0.000297674 9.26051e-076.56758 0.0176203
3.5 0.0320209 0.000545013 0.000165812 6.24902e-07 -1.32127 0.00317206 0.000278787 8.37504e-076.12476 0.0161376
