# Lattice: 60^2 B = 0.5 iterations = 200000 Algorithm: wolff
# T mag magerr sus suserr eng engerr heat heaterrclustersize clustersizeerr
1.5 0.986492 8.15071e-06 7.53008e-06 2.53136e-08 -3.90217 -nan 0.108344 2.14117e-053502.09 0.932002
1.575 0.981559 1.02049e-05 1.07245e-05 3.66849e-08 -3.86926 -nan 0.0973866 2.25999e-053468.95 1.05863
1.65 0.975249 1.27896e-05 1.50693e-05 5.17557e-08 -3.82855 -nan 0.0876624 2.39395e-053422.76 1.23627
1.725 0.967177 1.61167e-05 2.16662e-05 7.6877e-08 -3.77862 -nan 0.0790107 2.48685e-053369.56 1.38191
1.8 0.956858 2.04687e-05 3.13328e-05 1.12578e-07 -3.71835 -nan 0.071127 2.62189e-053295.06 1.57415
1.875 0.943598 2.67197e-05 4.74204e-05 1.72177e-07 -3.64668 -nan 0.0639013 2.8232e-053207.37 1.74399
1.95 0.926186 3.66756e-05 7.57876e-05 2.88139e-07 -3.55922 -nan 0.0570965 2.84221e-053092.99 1.9329
2.025 0.902634 5.18903e-05 0.000129717 5.20242e-07 -3.4539 -nan 0.0505515 3.0479e-052933.03 2.16253
2.1 0.868625 8.41063e-05 0.000266242 1.29278e-06 -3.32386 -nan 0.0438455 3.04314e-052716.78 2.39179
2.15 0.835707 0.000126909 0.000513811 3.57759e-06 -3.21993 -nan 0.0391063 3.02913e-052522.18 2.57897
2.2 0.784717 0.000243472 0.00137977 1.21719e-05 -3.09322 -nan 0.0335062 3.34554e-052230.24 2.80589
2.25 0.679229 0.000697568 0.00673002 4.43974e-05 -2.92859 0.000502952 0.025674 3.49125e-051715.08 3.54041
2.3 0.450259 0.00137554 0.0173634 4.33328e-05 -2.71509 0.00116783 0.0137713 3.20839e-05872.149 4.11946
2.35 0.254874 0.00111798 0.0115911 2.86426e-05 -2.5371 0.00143972 0.00584394 1.91285e-05334.295 2.1987
2.4 0.169545 0.000768091 0.00603028 1.89459e-05 -2.40725 0.00165769 0.00317312 1.08882e-05155.687 0.995305
2.45 0.128493 0.000637418 0.00360933 1.22859e-05 -2.30506 0.00177976 0.00214653 7.44897e-0692.0326 0.505938
2.5 0.105267 0.000605328 0.00242426 8.35882e-06 -2.20955 0.00220172 0.00161988 5.64818e-0662.294 0.302193
2.55 0.090072 0.000587003 0.00180763 7.01677e-06 -2.13092 0.00228929 0.00136475 4.31167e-0646.0252 0.208825
2.6 0.0789441 0.000544348 0.00136308 5.09056e-06 -2.05607 0.00211737 0.00112981 3.7329e-0635.7476 0.169276
2.675 0.0680657 0.00054087 0.000971636 3.99596e-06 -1.95505 0.0026291 0.000914687 2.85706e-0626.2384 0.104416
2.75 0.0605251 0.000597768 0.000751624 2.90451e-06 -1.8728 0.00252475 0.000793339 2.53886e-0620.4562 0.0777626
2.825 0.0550433 0.00057948 0.000609226 2.2742e-06 -1.792 0.00287953 0.000703656 2.23094e-0616.8003 0.0581737
2.9 0.049954 0.000560742 0.000486765 2.16489e-06 -1.7204 0.00277465 0.00061675 1.94734e-0614.0944 0.0457433
2.975 0.0460575 0.000598463 0.000406932 1.91467e-06 -1.65442 0.00286193 0.000534156 1.6958e-0612.1294 0.0364074
3.05 0.0440073 0.000577697 0.000361266 1.45731e-06 -1.59575 0.00278266 0.000503762 1.69081e-0610.6576 0.0333673
3.125 0.0409121 0.000620408 0.0003142 1.3074e-06 -1.54327 0.00287511 0.000432514 1.38616e-069.42815 0.0279413
3.2 0.0387344 0.000606673 0.000279982 1.3934e-06 -1.49022 0.00326803 0.000438843 1.47593e-068.52747 0.0246963
3.275 0.0373267 0.000599787 0.000241418 9.322e-07 -1.44108 0.00284697 0.000363178 1.13592e-067.79622 0.0214335
3.35 0.0358609 0.000593088 0.000223179 9.50696e-07 -1.40216 0.00339574 0.000371252 1.2013e-067.10068 0.0195198
3.425 0.0334621 0.000580751 0.000193137 7.9554e-07 -1.36025 0.00356928 0.000357194 1.16957e-066.56217 0.0175089
3.5 0.0342056 0.000654713 0.000193945 7.53407e-07 -1.32852 0.00347617 0.00029153 9.04861e-076.17372 0.0162819
