# Lattice: 60^2
# T mag magerr sus suserr eng engerr heat heaterr
1 0.997706 4.75514e-06 1.63731e-06 6.07497e-09 -4.98041 3.82285e-05 0.000109264 3.71611e-07
1.075 0.996041 6.67233e-06 2.82576e-06 9.76646e-09 -4.96668 5.21594e-05 0.000166208 5.51892e-07
1.15 0.993502 9.63608e-06 4.73631e-06 1.79434e-08 -4.94631 7.1015e-05 0.000240957 8.17087e-07
1.225 0.989774 1.37215e-05 7.83632e-06 2.67658e-08 -4.91736 9.43876e-05 0.000342447 1.0991e-06
1.3 0.984412 2.0827e-05 1.31629e-05 4.83841e-08 -4.87741 0.000127255 0.000476621 1.57594e-06
1.375 0.996787 5.02581e-06 1.47211e-06 5.00608e-09 -2.97832 3.26114e-05 4.59564e-05 1.55374e-07
1.45 0.995381 6.15855e-06 2.06246e-06 6.79476e-09 -2.96911 3.90021e-05 5.90189e-05 1.98726e-07
1.525 0.993547 7.50949e-06 2.86763e-06 9.38725e-09 -2.95729 4.67406e-05 7.49786e-05 2.28735e-07
1.6 0.991215 9.16836e-06 3.85536e-06 1.35732e-08 -2.94255 5.50376e-05 9.16744e-05 2.96131e-07
1.675 0.988329 1.11161e-05 5.11353e-06 1.7439e-08 -2.92468 6.46877e-05 0.000110489 3.50378e-07
1.75 0.984745 1.33892e-05 6.72726e-06 2.21246e-08 -2.90306 7.5196e-05 0.000130898 4.16025e-07
1.825 0.980353 1.62607e-05 8.80484e-06 2.89677e-08 -2.87731 8.75285e-05 0.000153855 4.82359e-07
1.9 0.975139 1.92592e-05 1.13332e-05 3.66855e-08 -2.84762 9.84227e-05 0.000176416 5.70094e-07
1.975 0.968796 2.36762e-05 1.47846e-05 4.83248e-08 -2.81285 0.000113521 0.000202664 6.37635e-07
2.05 0.961306 2.88848e-05 1.90702e-05 6.37924e-08 -2.77324 0.000131169 0.000230748 7.43851e-07
2.125 0.952331 3.45501e-05 2.45112e-05 8.22943e-08 -2.72788 0.000145764 0.000257382 8.04537e-07
2.175 0.94557 3.86269e-05 2.89943e-05 9.67348e-08 -2.69487 0.000158517 0.000277448 8.79724e-07
2.225 0.937852 4.48351e-05 3.43855e-05 1.12498e-07 -2.65878 0.000175427 0.000298217 9.26016e-07
2.275 0.929365 5.20216e-05 4.10944e-05 1.33312e-07 -2.62029 0.000192533 0.000319614 1.07092e-06
2.325 0.919888 5.7911e-05 4.80259e-05 1.51615e-07 -2.57875 0.000203411 0.000336913 1.03126e-06
2.375 0.909303 6.56382e-05 5.63072e-05 1.79083e-07 -2.53415 0.000217795 0.00035503 1.11411e-06
2.425 0.897647 7.33615e-05 6.61545e-05 2.15213e-07 -2.48701 0.000232546 0.000375781 1.14523e-06
2.475 0.884687 8.57088e-05 7.85708e-05 2.53825e-07 -2.43687 0.000256987 0.000392805 1.27941e-06
2.525 0.870675 9.7229e-05 9.17045e-05 2.94766e-07 -2.38491 0.000275329 0.000411728 1.32192e-06
2.575 0.854759 0.00010791 0.000108476 3.36451e-07 -2.3289 0.00028817 0.000431824 1.41595e-06
2.65 0.828586 0.000127421 0.000131888 4.30695e-07 -2.24123 0.000314286 0.000442606 1.39161e-06
2.725 0.798962 0.000155699 0.000164717 5.5027e-07 -2.14918 0.000351725 0.000461329 1.47123e-06
2.8 0.767132 0.000168237 0.000194587 6.15022e-07 -2.05568 0.000350879 0.000462184 1.46923e-06
2.875 0.732253 0.000189377 0.000226046 7.08774e-07 -1.96086 0.000366533 0.000455742 1.42112e-06
2.95 0.694589 0.0002121 0.000263468 8.39872e-07 -1.86521 0.000375302 0.000448129 1.41925e-06
3.025 0.656114 0.000230392 0.000289487 9.42461e-07 -1.77305 0.000371972 0.000428465 1.38701e-06
